timestamp,vesc_id,duty_cycle
1753359791.891336918,46,0.1440
1753359791.892571688,28,0.1440
1753359791.911433220,46,0.1440
1753359791.912461042,28,0.1440
1753359791.931318521,46,0.1440
1753359791.932757616,28,0.1440
1753359791.951128244,46,0.1440
1753359791.952056646,28,0.1390
1753359791.971085787,46,0.1440
1753359791.972109556,28,0.1440
1753359791.991088629,46,0.1440
1753359791.992066622,28,0.1440
1753359792.011283875,46,0.1440
1753359792.012287855,28,0.1440
1753359792.031344175,46,0.1440
1753359792.032872677,28,0.1440
1753359792.051010847,46,0.1440
1753359792.051992416,28,0.1440
1753359792.071254969,46,0.1390
1753359792.072143316,28,0.1380
1753359792.091293097,46,0.1390
1753359792.092400074,28,0.1390
1753359792.110784292,46,0.1330
1753359792.111816406,28,0.1360
1753359792.131112814,46,0.1390
1753359792.132575274,28,0.1390
1753359792.150755405,46,0.1390
1753359792.151891232,28,0.1340
1753359792.170835972,46,0.1390
1753359792.171681166,28,0.1390
1753359792.191069126,46,0.1390
1753359792.191712618,28,0.1390
1753359792.210902929,46,0.1390
1753359792.211778402,28,0.1390
1753359792.230875492,46,0.1390
1753359792.231857300,28,0.1390
1753359792.250821829,46,0.1390
1753359792.252009869,28,0.1390
1753359792.270374298,46,0.1340
1753359792.271524191,28,0.1320
1753359792.290440559,46,0.1320
1753359792.291560650,28,0.1340
1753359792.311187029,46,0.1340
1753359792.311395168,28,0.1340
1753359792.330313921,46,0.1340
1753359792.331406832,28,0.1340
1753359792.350690842,46,0.1340
1753359792.351382494,28,0.1340
1753359792.370157003,46,0.1340
1753359792.371328592,28,0.1340
1753359792.390473843,46,0.1340
1753359792.391290903,28,0.1340
1753359792.410229206,46,0.1340
1753359792.411883831,28,0.1340
1753359792.430169582,46,0.1340
1753359792.431216955,28,0.1310
1753359792.450348616,46,0.1340
1753359792.451303482,28,0.1340
1753359792.470056295,46,0.1290
1753359792.471182823,28,0.1290
1753359792.490053415,46,0.1290
1753359792.491314888,28,0.1290
1753359792.510093451,46,0.1200
1753359792.511153221,28,0.1290
1753359792.530200481,46,0.1290
1753359792.531122923,28,0.1290
1753359792.550227165,46,0.1290
1753359792.551091194,28,0.1290
1753359792.570071459,46,0.1290
