timestamp,vesc_id,tachometer_raw


1753360014.543844700,28,9128
1753360014.544079542,46,9167
1753360014.563880920,28,9128
1753360014.564214706,46,9167
1753360014.583754778,28,9128
1753360014.584037781,46,9167
1753360014.603799343,28,9128
1753360014.604258299,46,9167
1753360014.623636246,28,9128
1753360014.623901606,46,9167
1753360014.643614769,28,9128
1753360014.643893480,46,9167
1753360014.663723230,28,9128
1753360014.663886786,46,9167
1753360014.683618784,28,9128
1753360014.683810711,46,9168
1753360014.703553200,28,9128
1753360014.703822374,46,9168
1753360014.723499060,28,9128
1753360014.723767757,46,9168
1753360014.743369818,28,9128
1753360014.743668318,46,9168
1753360014.763350487,28,9128
1753360014.763679743,46,9168
1753360014.783407688,28,9128
1753360014.783658028,46,9168
1753360014.803333521,28,9128
1753360014.803601265,46,9168
1753360014.823313236,28,9128
1753360014.823512077,46,9168
1753360014.843309641,28,9129
1753360014.843480110,46,9168
1753360014.863255739,28,9129
1753360014.863451958,46,9169
1753360014.883197784,28,9129
1753360014.884198189,46,9169
1753360014.903112411,28,9129
1753360014.903396845,46,9169
1753360014.923151970,28,9129
1753360014.923342943,46,9169
1753360014.942931414,28,9129
1753360014.943264484,46,9169
1753360014.962891817,28,9130
1753360014.963297129,46,9169
1753360014.983863592,28,9130
1753360014.984019041,46,9169
1753360015.002922058,28,9130
1753360015.003152847,46,9170
1753360015.022847176,28,9130
1753360015.023092747,46,9170
1753360015.042842150,28,9130
1753360015.043155432,46,9170
1753360015.062717438,28,9131
1753360015.063009739,46,9170
1753360015.082871914,28,9131
1753360015.083071470,46,9171
1753360015.102649689,28,9131
1753360015.102893591,46,9171
1753360015.122591257,28,9131
1753360015.122848511,46,9171
1753360015.142724752,28,9132
1753360015.142982006,46,9171
1753360015.162509203,28,9132
1753360015.162741661,46,9172
1753360015.182412386,28,9132
1753360015.182704926,46,9172
1753360015.202467442,28,9132
1753360015.202677488,46,9172
1753360015.222054720,46,9173
1753360015.222690582,28,9133
1753360015.241942167,46,9173
1753360015.242601871,28,9133
1753360015.262269735,46,9173
1753360015.262605429,28,9134
1753360015.281916618,46,9173
1753360015.282554150,28,9134
1753360015.302217960,46,9174
1753360015.302468061,28,9134
1753360015.322495222,46,9174
1753360015.322641611,28,9134
1753360015.342020035,46,9175
1753360015.342318058,28,9135
1753360015.362015963,46,9175
1753360015.362664700,28,9135
1753360015.382285833,46,9175
1753360015.382426262,28,9135
1753360015.401611328,46,9176
1753360015.402154922,28,9136
1753360015.421900034,46,9176
1753360015.422190905,28,9136
1753360015.441506624,46,9176
1753360015.442149162,28,9137
1753360015.461483479,46,9177
1753360015.462226629,28,9137
1753360015.481788874,46,9177
1753360015.482017756,28,9138
1753360015.501401901,46,9178
1753360015.502020121,28,9138
1753360015.521392107,46,9178
1753360015.521988392,28,9138
1753360015.542017221,46,9179
1753360015.542246819,28,9139
1753360015.561242819,46,9179
1753360015.561882257,28,9139
1753360015.581235647,46,9180
1753360015.581774235,28,9140
1753360015.601175785,46,9180
1753360015.601759434,28,9140
1753360015.621043444,46,9181
1753360015.621608973,28,9141
1753360015.641399384,46,9181
1753360015.641685247,28,9141
1753360015.660989761,46,9182
