duty_cycle,vesc_id,tick_delta,time_delta
0.0,28,0,0.18019509315490723
0.005,28,0,0.1795647144317627
0.01,28,0,0.17965435981750488
0.015,28,1,0.17978215217590332
0.02,28,2,0.17965984344482422
0.025,28,2,0.1799168586730957
0.030000000000000002,28,4,0.19992876052856445
0.035,28,5,0.17959976196289062
0.04,28,5,0.17955684661865234
0.045,28,6,0.1797029972076416
0.049999999999999996,28,7,0.17981815338134766
0.05499999999999999,28,8,0.1796247959136963
0.05999999999999999,28,9,0.17908668518066406
0.06499999999999999,28,10,0.17966890335083008
0.06999999999999999,28,11,0.17967462539672852
0.075,28,12,0.17973828315734863
0.08,28,13,0.17972517013549805
0.085,28,14,0.1796720027923584
0.09000000000000001,28,15,0.17958402633666992
0.09500000000000001,28,15,0.1796860694885254
0.10000000000000002,28,16,0.17924904823303223
0.10500000000000002,28,17,0.1797642707824707
0.11000000000000003,28,18,0.1798725128173828
0.11500000000000003,28,19,0.17965054512023926
0.12000000000000004,28,20,0.17956161499023438
0.12500000000000003,28,21,0.1798563003540039
0.13000000000000003,28,21,0.1798863410949707
0.13500000000000004,28,25,0.1990504264831543
0.14000000000000004,28,23,0.17965149879455566
0.14500000000000005,28,24,0.17978835105895996
0.15000000000000005,28,25,0.17956089973449707
0.15500000000000005,28,26,0.17944073677062988
0.16000000000000006,28,28,0.17989611625671387
0.16500000000000006,28,28,0.17970848083496094
0.17000000000000007,28,29,0.17958927154541016
0.17500000000000007,28,30,0.17989778518676758
0.18000000000000008,28,30,0.1795668601989746
0.18500000000000008,28,31,0.17955541610717773
0.19000000000000009,28,32,0.17963814735412598
0.1950000000000001,28,34,0.17996716499328613
0.2,28,35,0.17960238456726074
0.195,28,33,0.17966651916503906
0.19,28,33,0.17978143692016602
0.185,28,32,0.1796863079071045
0.18,28,32,0.1803140640258789
0.175,28,30,0.17957282066345215
0.16999999999999998,28,30,0.17967462539672852
0.16499999999999998,28,29,0.17975068092346191
0.15999999999999998,28,27,0.17928242683410645
0.15499999999999997,28,30,0.19994187355041504
0.14999999999999997,28,25,0.17965269088745117
0.14499999999999996,28,25,0.17966556549072266
0.13999999999999996,28,23,0.17990970611572266
0.13499999999999995,28,23,0.179826021194458
0.12999999999999995,28,22,0.17968010902404785
0.12499999999999994,28,21,0.1795036792755127
0.11999999999999994,28,21,0.17973017692565918
0.11499999999999994,28,19,0.17987275123596191
0.10999999999999993,28,19,0.1792612075805664
0.10499999999999993,28,18,0.18008708953857422
0.09999999999999992,28,17,0.17963743209838867
0.09499999999999992,28,16,0.17971587181091309
0.08999999999999991,28,15,0.17996907234191895
0.08499999999999991,28,14,0.1795971393585205
0.0799999999999999,28,13,0.17969465255737305
0.0749999999999999,28,12,0.1797192096710205
0.0699999999999999,28,12,0.17984819412231445
0.06499999999999989,28,10,0.18048739433288574
0.059999999999999894,28,9,0.1796588897705078
0.054999999999999896,28,9,0.1990804672241211
0.0499999999999999,28,8,0.1799449920654297
0.0449999999999999,28,6,0.17970538139343262
0.039999999999999904,28,6,0.1794881820678711
0.034999999999999906,28,5,0.18063592910766602
0.029999999999999905,28,4,0.17957019805908203
0.024999999999999904,28,3,0.17986559867858887
0.019999999999999903,28,2,0.18033862113952637
0.014999999999999902,28,1,0.17958307266235352
0.009999999999999901,28,0,0.17914748191833496
0.004999999999999901,28,0,0.17962980270385742
-9.8879238130678e-17,28,0,0.179304838180542
-0.005000000000000099,28,0,0.17973732948303223
-0.010000000000000099,28,0,0.1797494888305664
